Customer ID,Country
1001201,IN
1001202,IN
1001203,IN
1001204,IN
1001205,IN
1001206,IN
1001207,IN
1001208,IN
1001209,IN
1001210,IN
1001211,IN
1001212,IN
1001213,IN
1001214,IN
1001215,IN
1001216,IN
1001217,IN
1001218,IN
1001219,IN
1001220,IN
1001221,IN
1001222,IN
1001223,IN
1001224,IN
1001225,IN
1001226,IN
1001227,IN
1001228,IN
1001229,IN
1001230,IN
1001231,IN
1001232,IN
1001233,IN
1001234,IN
1001235,IN
1001236,IN
1001237,IN
1001238,IN
1001239,IN
1001240,IN
1001241,IN
1001242,IN
1001243,IN
1001244,IN
1001245,IN
1001246,IN
1001247,IN
1001248,IN
1001249,IN
1001250,IN
1001251,IN
1001252,IN
1001253,IN
1001254,IN
1001255,IN
1001256,IN
1001257,IN
1001258,IN
1001259,IN
1001260,IN
1001261,IN
1001262,IN
1001263,IN
1001264,IN
1001265,IN
1001266,IN
1001267,IN
1001268,IN
1001269,IN
1001270,IN
1001271,IN
1001272,IN
1001273,IN
1001274,IN
1001275,IN
1001276,IN
1001277,IN
1001278,IN
1001279,IN
1001280,IN
1001281,IN
1001282,IN
1001283,IN
1001284,IN
1001285,IN
1001286,IN
1001287,IN
1001288,IN
1001289,IN
1001290,IN
1001291,IN
1001292,IN
1001293,IN
1001294,IN
1001295,IN
1001296,IN
1001297,IN
1001298,IN
1001299,IN
1001300,IN
